Date,Company,Ticker,Sentiment,Title
2024-09-24,petrobras,PBR,-0.7579,"Oil Prices Surge on Supply Uncertainty, Demand Optimism, and Geopolitical Risk"
2024-09-24,pampa_energia,PAM,-0.7783,CNBC’s Kernen: Harris Campaign Has 'Rope-a-Dope' Strategy to Deliberately Avoid Media
2024-09-24,companhia_siderurgica_nacional,SID,-0.9217,Famous Figures Who Died Younger Than You Realized (28 PICS)
2024-09-24,pampa_energia,PAM,-0.765,‘Sinners’ Trailer: Michael B. Jordan Reunites With ‘Black Panther’ Director Ryan Coogler and Battles a Terrifying Evil
2024-09-24,pampa_energia,PAM,-0.765,Mark Robinson says he’s ‘going after’ CNN following report on history of online comments
2024-09-24,pampa_energia,PAM,-0.4019,The Truths and Distortions of Ruby Franke
2024-09-24,pampa_energia,PAM,-0.296,"No, 65-year-old trainspotter will not be identifying as ‘neurospicy’"
2024-09-24,pampa_energia,PAM,-0.5574,O'Leary: Harris Lack of Economic Details 'Really Big Sticking Point with Investors'
2024-09-24,pampa_energia,PAM,-0.5106,"Mary Matalin on Kamala: 'Unless She Can Serve Salad Dressing on It, She Hasn't Said a Thing'"
2024-09-25,pampa_energia,PAM,-0.5994,Test Accounts: A Hidden Risk
2024-09-25,vale,VALE,-0.9657,New York court is set to hear Donald Trump's appeal of his $489 million civil fraud verdict
2024-09-25,pampa_energia,PAM,-0.9678,'It's an insane message': Women voters revolt over Trump vow to 'protect' them
2024-09-25,pampa_energia,PAM,-0.7783,Hubbard Inn’s TikTok Lawsuit Won’t Stop as Judge Denies Motion to Dismiss
2024-09-25,cosan,CSAN,-0.296,Destaques
2024-09-25,vale,VALE,-0.8908,'Quick' cancer DNA test offers hope for thousands
2024-09-25,vale,VALE,-0.9657,6 things to know about Trump's appeal of his $489 million civil fraud verdict
2024-09-25,vale,VALE,-0.9509,Trump’s Fight To Avoid Paying $489 Million To Kick Off In Court
2024-09-25,companhia_siderurgica_nacional,SID,-0.8957,Germany: Charges pressed in Schumacher family blackmail case
2024-09-25,companhia_siderurgica_nacional,SID,-0.296,Audio-Technica Reveals Premium Direct Drive Automatic Turntable
2024-09-25,petrobras,PBR,-0.0516,"Petrobras stock has more upside in light of high FCF yields, says JPMorgan"
2024-09-25,vale,VALE,-0.9657,New York court is set to hear Donald Trump's appeal of his $489 million civil fraud verdict
2024-09-25,pampa_energia,PAM,-0.775,Why Helene Is Particularly Worrisome For Meteorologists
2024-09-25,vale,VALE,-0.9509,New York court is set to hear Donald Trump's appeal of his $489 million civil fraud verdict
2024-09-25,ecopetrol,EC,-0.7579,Google files EU antitrust complaint against Microsoft
2024-09-25,ecopetrol,EC,-0.1531,Joe Biden Says He Delegated ‘Everything’ to Kamala Harris: ‘Foreign Policy to Domestic Policy
2024-09-25,aes_andes,AES,-0.7717,African state criticizes lack of action against Ukraine
2024-09-25,braskem,BAK,-0.25,"Lithium-Ion Battery Market - Global Forecasts from 2024 to 2029: Asia Pacific Region to Dominate, Expanding Demand from Medical Device Markets"
2024-09-25,pampa_energia,PAM,-0.2732,HSBC considers insider Pam Kaur as its first-ever female CFO
2024-09-26,vale,VALE,-0.802,Massive civil fraud verdict against Trump gets frosty reception at New York appeals court
2024-09-26,vale,VALE,-0.719,‘Troubling’: NY Appeals Court Seem Skeptical of Trump’s $454 Million Fine in Civil Fraud Case
2024-09-26,vale,VALE,-0.8402,Massive civil fraud verdict against Trump gets frosty reception at New York appeals court
2024-09-26,vale,VALE,-0.9732,"DEVELOPING: NY Appellate Judges Skeptical of Letitia James’ Civil Fraud Case Against Trump, Blast Her Deputy Solicitor General During Opening Statement"
2024-09-26,vale,VALE,-0.9153,Judge Brings up Trump Argument Against Letitia James During Hearing
2024-09-26,vale,VALE,-0.9493,Appellate judges skeptical of New York civil fraud case against Trump
2024-09-26,vale,VALE,-0.946,Trump's Lawyer Urges NY Appeals Court to Toss $489M Civil Fraud Ruling
2024-09-26,companhia_paranaense_de_energia,ELP,-0.7269,The I7L protein of African swine fever virus is involved in viral pathogenicity by antagonizing the IFN-γ-triggered JAK-STAT signaling pathway through inhibiting the phosphorylation of STAT1
2024-09-26,vale,VALE,-0.9186,NY appellate judges voice serious doubts about Trump's $454M civil fraud verdict
2024-09-26,vale,VALE,-0.5267,Appeals Court Questions Trump’s ‘Troubling’ $450 Million Fine In Civil Fraud Case
2024-09-26,pampa_energia,PAM,-0.4404,Where Does the Olivia Nuzzi–RFK Jr. Fallout End?
2024-09-26,vale,VALE,-0.891,Judges to hear arguments in Donald Trump's appeal of civil fraud verdict
2024-09-26,vale,VALE,-0.926,Judges set to hear arguments in Donald Trump's appeal of civil fraud verdict
2024-09-26,vale,VALE,-0.9657,New York court is set to hear Donald Trump's appeal of his $489 million civil fraud verdict
2024-09-26,pampa_energia,PAM,-0.1027,NASA Hosts Two Workshops for Consultation on LEO Microgravity Strategy
2024-09-26,pampa_energia,PAM,-0.6597,From Trump Convictions to Assassination Attempts: How Prediction Markets Have Turned American Politics Into a Casino
2024-09-26,pampa_energia,PAM,-0.7269,The I7L protein of African swine fever virus is involved in viral pathogenicity by antagonizing the IFN-γ-triggered JAK-STAT signaling pathway through inhibiting the phosphorylation of STAT1
2024-09-26,braskem,BAK,-0.4019,Combination of bortezomib and venetoclax targets the pro-survival function of LMP-1 and EBNA-3C of Epstein-Barr virus in spontaneous lymphoblastoid cell lines
2024-09-26,braskem,BAK,-0.9118,101 экшн
2024-09-26,vale,VALE,-0.802,Massive civil fraud verdict against Trump gets frosty reception at New York appeals court
2024-09-26,pampa_energia,PAM,-0.9844,Inside The Brutal Murder Of Greggory Smart At The Hands Of His Wife’s Underage Lover
2024-09-26,vale,VALE,-0.9595,Appellate Judge Calls Trump’s $454M Civil Fraud Judgement ‘Troubling’
2024-09-26,petrobras,PBR,-0.3595,Rigged K2 Black Panther Battle Tank by EVOLVE Studio LTD
2024-09-26,petrobras,PBR,-0.7579,Tombstone 3D Gravestone by GVOZDY
2024-09-26,companhia_siderurgica_nacional,SID,-0.7351,A novel reconstruction model for thoracic spinal cord injury in swine
2024-09-26,companhia_siderurgica_nacional,SID,-0.9666,Hacking Kia: Remotely Controlling Cars with Just a License Plate
2024-09-26,ecopetrol,EC,-0.9042,Mahkota polls: Bersatu claim of Syed Hussien's arrest slammed as 'desperate move'
2024-09-26,copel,ELP,-0.7269,The I7L protein of African swine fever virus is involved in viral pathogenicity by antagonizing the IFN-γ-triggered JAK-STAT signaling pathway through inhibiting the phosphorylation of STAT1
2024-09-26,ecopetrol,EC,-0.2023,Pope Francis begins trip to 'the heart of Europe'
2024-09-26,petrobras,PBR,-0.2023,Connecticut trader convicted in Petrobras bribery case
2024-09-26,petrobras,PBR,-0.3818,Connecticut trader convicted in Petrobras bribery case
2024-09-26,aes_andes,AES,-0.9628,goTenna Pro ATAK Plugin
2024-09-26,aes_andes,AES,-0.9682,goTenna Pro X and Pro X2
2024-09-26,aes_andes,AES,-0.34,"Study protocol of the ASTOP trial: A multicenter, randomized, double-blind, placebo-controlled trial of presurgical aspirin administration for the prevention of thromboembolic complications of coil embolization for ruptured aneurysms"
2024-09-26,aes_andes,AES,-0.4019,Combination of bortezomib and venetoclax targets the pro-survival function of LMP-1 and EBNA-3C of Epstein-Barr virus in spontaneous lymphoblastoid cell lines
2024-09-26,petrobras,PBR,-0.7579,Tombstone Gravestone 3D RIP stone by GVOZDY
2024-09-26,petrobras,PBR,-0.8271,Tombstone Concrete Old New dirty moldy by GVOZDY
2024-09-26,petrobras,PBR,-0.7184,Concrete Dirty Tombstone Clean 3D by GVOZDY
2024-09-26,petrobras,PBR,-0.8271,Tombstone Old Dirty New 3D model by GVOZDY
2024-09-26,petrobras,PBR,-0.7003,Tombstone 3D realistic concrete by GVOZDY
2024-09-26,petrobras,PBR,-0.126,Rigged Challenger II Battle Tank by EVOLVE Studio LTD
2024-09-26,companhia_siderurgica_nacional,SID,-0.6705,Monsters: The Lyle and Erik Menendez Story cast respond to brother’s criticism
2024-09-26,ecopetrol,EC,-0.128,"Umno won't waver in its struggle because of one trip to China, Zahid tells Perikatan"
2024-09-26,vale,VALE,-0.8591,Trump Is on the Brink of a Win in His Massive New York Fraud Case
