Date,Close,EMA20,SMA50,RSI,OBV,MACD,Stoch_D,Stoch_K,ROC,Volume_SMA20,Daily_Return,Year,Month,Day
2023-06-07,7.29339075088501,7.106953049625086,7.046258134841919,58.90411612110557,12588100,0.0024006627333674757,73.13612457483289,95.45451228281041,2.5571930210400047,250745.0,0.02144764043299041,2023,6,7
2023-06-08,7.331676483154297,7.128355281389773,7.069420871734619,60.27312237532987,12795100,0.020663414760972998,86.0718692117227,88.15787379579639,3.6535845220865304,249905.0,0.005249373518708245,2023,6,8
2023-06-09,7.704960823059082,7.183270094882088,7.098900728225708,70.56788038587109,13535000,0.06451402634468195,89.93041540873439,86.17886014759627,8.930994124923426,272415.0,0.05091391317694738,2023,6,9
2023-06-12,7.714532375335693,7.233866502544337,7.125509176254273,70.77699475415461,13988000,0.09889825866344637,87.10953887118592,86.99188267016503,8.042900222703228,281910.0,0.001242258396430218,2023,6,12
2023-06-13,7.618818283081055,7.270528576881167,7.1492462062835695,65.74647347883322,13567900,0.11707511413318006,84.01084059070205,78.86177895434476,8.891932705690373,292535.0,-0.01240698562114384,2023,6,13
2023-06-14,7.695389270782471,7.310991500109862,7.176046075820923,67.72293325318842,13911400,0.13609027781774863,83.73983308317912,85.3658376250275,12.605046531633747,300440.0,0.010050244651648388,2023,6,14
2023-06-15,7.791103363037109,7.356716439436267,7.203037366867066,70.04933879227534,14366300,0.15707262392918864,85.90785264007336,93.49594134084776,11.9669908628963,314535.0,0.012437849325964923,2023,6,15
2023-06-16,7.695389270782471,7.388970994802572,7.226008682250977,65.0037219223114,12320400,0.16408647037306068,88.07587219696761,85.3658376250275,9.98632326997339,406850.0,-0.012285049728479991,2023,6,16
2023-06-20,7.781531810760498,7.426357739179518,7.2507028484344485,67.28748297918538,12885400,0.17458348749544683,90.51489864306534,92.68291696332065,10.312079588284991,416915.0,0.011194045804166164,2023,6,20
2023-06-21,7.848530769348144,7.466564694433673,7.276736993789672,68.98285750006569,13040300,0.18616273706561337,92.14088902753132,98.3739124942457,9.91956291720124,414975.0,0.008609996105779283,2023,6,21
2023-06-22,7.628389358520508,7.481976567203848,7.29185977935791,58.292697199570966,12887400,0.1755521478358686,88.15367764135964,73.40420346651246,4.593180580580411,410845.0,-0.028048741515721898,2023,6,22
2023-06-23,7.934673309326172,7.525090542644069,7.306599702835083,66.1519883470445,13225000,0.18967132160519995,86.20674777564665,86.84212736618173,8.224542197918264,414330.0,0.040150539833623045,2023,6,23
2023-06-26,7.896388530731201,7.560452255795225,7.317128229141235,64.5154669051409,13095300,0.1955177993815136,80.99123127859023,82.72736300307643,2.484473471938006,407560.0,-0.004824997463975245,2023,6,26
2023-06-27,7.743246078491211,7.57786119129008,7.32344533920288,58.30222752753854,12976600,0.18565375815143081,77.0360037427388,61.538520858958194,0.3722027695070515,404805.0,-0.019393986458998258,2023,6,27
2023-06-28,7.647531986236572,7.584496505094508,7.33091100692749,54.7530514895665,12863200,0.16817449617419733,63.129285298883254,45.121972034615084,0.3768786980952345,395840.0,-0.01236097771973288,2023,6,28
2023-06-29,8.0208158493042,7.626050728352574,7.348139486312866,63.96607158819571,13401800,0.18234102932934704,65.5535208001124,90.00006950676384,4.22885142090595,408035.0,0.04881102344382926,2023,6,29
2023-06-30,8.240957260131836,7.684613255188694,7.372259359359742,68.09231826527358,13741700,0.20892334272969748,75.80989289641678,92.30763714787135,5.773943383025092,408285.0,0.02744626169752218,2023,6,30
2023-07-03,8.11652946472168,7.725748132287073,7.392550678253174,63.65542154947155,13583500,0.217443184731672,85.98289745153888,75.6409856999814,5.472630157101686,395875.0,-0.015098706555865093,2023,7,3
2023-07-05,7.944245338439941,7.7465573900159175,7.409970598220825,58.01828414172136,13309500,0.20789682654286157,73.50425844226442,52.56415247894043,2.091021814682284,401515.0,-0.02122632918793277,2023,7,5
2023-07-06,7.724102973937988,7.744418874198972,7.421456251144409,51.71608776388112,12981500,0.18048707721480106,50.42734006041525,23.076882002323842,-1.5853641791926065,403495.0,-0.02771092219883331,2023,7,6
2023-07-07,7.953816890716553,7.764361542438742,7.436579046249389,56.968748937105076,13254500,0.17528012649036828,43.162420545732886,53.84622715593432,4.2660057962636575,407410.0,0.029739882748022195,2023,7,7
2023-07-10,7.762388706207275,7.76417365327384,7.448447561264038,51.90162902839169,13097500,0.15393248796774728,34.41296580546734,26.31578825814377,-2.1712879207817974,404910.0,-0.024067461841208115,2023,7,10
2023-07-11,7.838959217071533,7.77129608792124,7.458401775360107,53.67649773946414,13550200,0.1415611026646344,39.54116824331645,38.461489315871184,-0.7272858147261156,390550.0,0.009864297416982915,2023,7,11
2023-07-12,7.886816501617432,7.782298032082782,7.467973155975342,54.799171197727816,13743200,0.13407286505286908,36.5496910742337,44.871795648686096,1.8541374208037014,377550.0,0.006105055941824089,2023,7,12
2023-07-13,8.030387878417969,7.805925636495657,7.48175594329834,58.08136132529767,13995200,0.13813110364822023,49.14531191370458,64.1026507765564,5.006267288197427,369145.0,0.018203970736620168,2023,7,13
2023-07-14,7.972959518432617,7.821833625251559,7.494773025512695,56.31970597215577,13854200,0.1351553119659945,55.1282602329602,56.41033427363806,-0.5966516595158277,359020.0,-0.0071513805876914915,2023,7,14
2023-07-17,7.87724494934082,7.82711089421244,7.506450109481811,53.41194392890787,13507700,0.12364826952996566,54.700902219400916,43.589721608008226,-4.4134716309061055,353600.0,-0.012004898415765797,2023,7,17
2023-07-18,7.781531810760498,7.822770029121779,7.515830068588257,50.59864694619715,13361000,0.10558844722718241,43.589785478582684,30.769300554101708,-4.127350925259887,258640.0,-0.012150585540485426,2023,7,18
2023-07-19,7.819817066192627,7.822488794557097,7.525401439666748,51.69466317646776,13473800,0.09328982110161377,36.75216371259144,35.89746897566432,-1.5662692546168164,236030.0,0.0049200152827477694,2023,7,19
2023-07-20,7.800673961639404,7.820411191422078,7.538035659790039,51.08437947796204,13368000,0.08106392823429687,33.33336347469156,33.33332089430857,0.9913253093566378,233575.0,-0.00244802460098259,2023,7,20
2023-07-21,7.915531158447266,7.829470235900668,7.5500956058502195,54.55125671365716,14031200,0.07972382925757593,41.43444029863372,55.07253102592821,-0.4813504358388364,259090.0,0.01472400940901819,2023,7,21
2023-07-24,8.106959342956543,7.855897769905988,7.563304119110107,59.680343743581496,14404800,0.093035984900399,57.08767945781019,82.8571864531937,4.438976838066973,260890.0,0.024183871009716196,2023,7,24
2023-07-25,8.22181510925293,7.890747040319982,7.579766893386841,62.42064974990907,14617500,0.11156778067952722,75.51243394443777,88.60758435419132,4.884014338888514,265040.0,0.014167551783292875,2023,7,25
2023-07-26,8.537671089172363,7.952358854496399,7.604461059570313,68.71727445992845,15027400,0.1500120546233621,87.53839643451614,91.15041849616337,8.252437310053482,279600.0,0.03841681863703861,2023,7,26
2023-07-27,8.193100929260254,7.975286671140576,7.621115264892578,57.41518902853453,14826200,0.15093559490405273,79.6833351001162,59.29200244999379,2.0262165826333725,283990.0,-0.04035879999512981,2023,7,27
2023-07-28,8.269672393798828,8.003323406631837,7.641598024368286,59.02789398407501,15005400,0.15604736756688364,72.2713669327181,66.37167985199707,3.7214898016256446,266020.0,0.009345846609201791,2023,7,28
2023-07-31,8.288814544677734,8.030513038826685,7.663995056152344,59.44140922240735,15245500,0.15980100926665664,62.58962494461283,62.10519253184753,5.224791129179686,261030.0,0.0023147411369355275,2023,7,31
2023-08-01,8.298386573791504,8.05602480406143,7.688306369781494,59.66065439432511,15502000,0.16168438318562028,63.87825556555665,63.15789431282525,6.642069654155831,265945.0,0.0011548127976774847,2023,8,1
2023-08-02,8.432385444641113,8.091868674592828,7.715680513381958,62.70037364632998,15846900,0.17200677258380104,67.7192524233478,77.89467042537053,7.8335384736402585,269490.0,0.016147581178347803,2023,8,2
2023-08-03,8.173958778381348,8.099686779715544,7.738268976211548,54.215439467951946,14162800,0.1575186909282209,63.50875994577976,49.47371509914341,4.785289304201263,337295.0,-0.03064692286143056,2023,8,3
2023-08-04,8.269672393798828,8.115875885818713,7.7614317226409915,56.5601423724578,14617400,0.15200781916950845,62.45612808621155,59.999998734120645,4.47400469106399,346375.0,0.011709578921614616,2023,8,4
2023-08-07,8.317527770996094,8.135080827264177,7.786317291259766,57.725838828509765,15138000,0.1497754247284817,57.73660265555491,63.73609413340058,2.597378611778731,364555.0,0.005786852842338819,2023,8,7
2023-08-08,8.346242904663086,8.155191501302168,7.81177716255188,58.44639945189119,15738800,0.1486102212312712,63.084423733721074,65.51717833364192,1.51338595865679,371960.0,0.0034523640266190814,2023,8,8
2023-08-09,8.365386009216309,8.17521002586542,7.83627989768982,58.94875142205874,16465200,0.1475308339971768,64.2965349672641,63.63633243474969,-2.0179399997564897,398630.0,0.002293619389213797,2023,8,9
2023-08-10,8.461099624633789,8.202437606700503,7.865568323135376,61.45765308125861,16852800,0.15263917133713178,68.48973112073615,76.31568259381676,3.271028853268777,405410.0,0.011441625683743739,2023,8,10
2023-08-11,8.66209888458252,8.246214871260696,7.902131004333496,66.137973949253,17234500,0.1709360811995353,79.98400500952218,100.0,4.745369249185251,417445.0,0.023755690024442888,2023,8,11
2023-08-14,8.480241775512695,8.268503147856125,7.932567977905274,59.14047577639746,16734800,0.1688161576479903,80.79564654233165,66.0712570331781,2.309464517551268,425105.0,-0.02099457781456493,2023,8,14
